GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
20,1984.6298,4925.093,7745.0434,0.0,0.0,0.0,-4852.2494,-43233.8387,2180.7099,24373.4797,-5525.1729,197.68036751999998,-6877.132300000001,-5327.49253248,-12204.62483248
21,2014.8251,4852.9924,7772.8515,0.0,0.0,0.0,-4822.3455,-43334.624,2167.0948,24333.1043,-5444.8182,199.63821887999998,-7016.101400000007,-5245.17998112,-12261.281381120007
22,2006.1442,4919.2587,7758.6001,0.0,0.0,0.0,-4815.3987,-43472.6736,2191.1909,24459.7915,-5426.4634,199.67641704,-6953.086900000002,-5226.7869829599995,-12179.873882960002
23,2004.3335,4853.7531,7750.7978,0.0,0.0,0.0,-4823.2066,-43290.0032,2169.1828,24263.7787,-5481.6442,201.29655744000002,-7071.363900000004,-5280.34764256,-12351.711542560002
24,1983.4467,4834.4489,7746.9691,0.0,0.0,0.0,-4859.0961,-43051.888,2195.6599,24279.8178,-5577.613,197.844138,-6870.6416999999965,-5379.768862,-12250.410561999997
25,1967.7523,4770.9977,7707.2912,0.0,0.0,0.0,-4828.4153,-43155.2971,2200.1752,24308.1163,-5522.4546,195.33346056,-7029.379700000001,-5327.12113944,-12356.500839440003
26,1912.3925,4812.8673,7811.768,0.0,0.0,0.0,-4863.9494,-43404.0313,2208.6361,24333.4388,-5275.3624,193.84229304000002,-7188.878000000004,-5081.52010696,-12270.398106960005
27,1944.2717,4885.1463,7708.076,0.0,0.0,0.0,-4853.4899,-43217.8193,2188.5386,24423.0606,-5619.7841,200.81534327999998,-6922.215999999997,-5418.96875672,-12341.184756719998
28,2014.7238,4866.1077,7762.3829,0.0,0.0,0.0,-4805.9196,-43103.794,2226.1764,24238.5802,-5561.8524,200.39038775999998,-6801.742600000005,-5361.46201224,-12163.204612240004
29,1932.4028,4899.5571,7774.6246,0.0,0.0,0.0,-4886.8799,-43310.9813,2202.8788,24309.6666,-5459.0818,195.38994527999998,-7078.731300000003,-5263.69185472,-12342.423154720003
30,1934.8941,4903.6451,7705.2578,0.0,0.0,0.0,-4832.3119,-42899.0402,2197.9487,24227.6633,-5762.1403,202.10798304,-6761.943100000004,-5560.03231696,-12321.975416960004
31,1888.8382,4813.6981,7724.5689,0.0,0.0,0.0,-4828.815,-42962.7501,2208.1252,24281.8709,-5715.2025,203.56718112,-6874.463800000001,-5511.63531888,-12386.09911888
32,1973.4877,4919.828,7724.94,0.0,0.0,0.0,-4808.5852,-43211.4866,2216.7015,24285.0465,-5521.8196,202.11276312,-6900.068099999997,-5319.70683688,-12219.774936879996
33,1988.3636,4867.1605,7702.3268,0.0,0.0,0.0,-4800.4351,-43251.5869,2189.7387,24222.1468,-5431.3471,197.7627924,-7082.2856000000065,-5233.5843076,-12315.869907600005
34,2024.7157,4854.7842,7788.9365,0.0,0.0,0.0,-4818.3708,-42897.8781,2202.3059,24176.6699,-5729.0545,197.59179456,-6668.8367,-5531.46270544,-12200.29940544
35,1975.538,4887.951,7741.3162,0.0,0.0,0.0,-4853.0234,-43219.0483,2195.7272,24368.8198,-5590.0091,201.78816624,-6902.719500000003,-5388.22093376,-12290.940433760003
36,1923.8943,4846.2809,7708.6416,0.0,0.0,0.0,-4838.3302,-43168.3947,2206.129,24237.5101,-5463.0542,201.61823976,-7084.269,-5261.43596024,-12345.704960239998
37,1959.552,4822.4026,7774.5855,0.0,0.0,0.0,-4868.5531,-43134.1754,2189.2073,24349.0562,-5600.7985,197.44067232,-6907.924899999998,-5403.35782768,-12311.282727679998
